category,count
10K Specific,45
1K Repeats,40
400m Repeats,40
5K Specific,45
800m Repeats,40
Base Run,55
Beginner Walk-Run,50
Broken Tempo,45
Cruise Intervals,45
Easy Run,55
Fartlek,55
Fast Finish Long Run,45
Half Marathon Specific,40
Hill Repeats,45
Hill Sprints,30
Ladder Workout,40
Long Run,55
Marathon Specific,40
Mile Repeats,35
Progression Run,45
Pyramid Workout,40
Race Week Tune-Up,35
Recovery Run,45
Strides,35
Tempo Run,45
Threshold Intervals,50
Time Trial,30
Trail Workout,45
Treadmill Workout,50
VO2max Intervals,50
