methodId,methodName,category,route,formulaDisplay,requiredInputs,optionalInputs,outputUnits,confidenceLabel,limitation,sourceNote,implementationStatus,relatedModules
mtd_001,Pace from Distance and Time,Pace & Speed,/pace,pace = time / distance,distance | time,,sec/km | min/km | sec/mi | min/mi,Formula,Requires accurate distance and elapsed/moving time choice.,Core arithmetic conversion used by running calculators.,readyForImplementation,Pace Calculator | Race Split Calculator | Workout Structure Calculator
mtd_002,Speed from Distance and Time,Pace & Speed,/pace,speed = distance / time,distance | time,,m/s | km/h | mph,Formula,Output depends on distance/time accuracy and unit consistency.,Core arithmetic conversion.,readyForImplementation,Pace Calculator | Speed Converter | Treadmill Calculator
mtd_003,Time from Distance and Pace,Pace & Speed,/pace,time = distance × pace,distance | pace,,time,Formula,Assumes pace remains constant across the full distance.,Core arithmetic conversion.,readyForImplementation,Pace Calculator | Race Planner | Workout Rep Calculator
mtd_004,Distance from Time and Pace,Pace & Speed,/pace,distance = time / pace,time | pace,,km | miles | m,Formula,Assumes constant pace and no pauses unless user includes elapsed time.,Core arithmetic conversion.,readyForImplementation,Pace Calculator | Workout Duration Calculator
mtd_005,Pace Unit Conversion,Pace & Speed,/pace,pace_sec_per_mile = pace_sec_per_km × 1.609344,pace,,sec/km | sec/mi | min/km | min/mi,Formula,Conversion is exact only if input pace is exact.,Standard unit conversion.,readyForImplementation,Pace Calculator | Unit Converter
mtd_006,Speed Unit Conversion,Pace & Speed,/pace,km/h = m/s × 3.6; mph = km/h / 1.609344,speed,,m/s | km/h | mph,Formula,"Conversion is exact, but source speed may be measured with error.",Standard unit conversion.,readyForImplementation,Speed Converter | Treadmill Calculator
mtd_007,Average Pace from Splits,Pace & Speed,/pace,averagePace = sum(splitTimes) / sum(splitDistances),splitDistances | splitTimes,,sec/km | sec/mi,Formula,Requires all split distances and times to be complete and consistent.,Weighted average arithmetic.,readyForImplementation,Split Calculator | Race Planner | Workout Analyzer
mtd_008,Even Split Table,Pace & Speed,/race,splitTime = targetFinishTime × splitDistance / raceDistance,targetFinishTime | raceDistance | splitDistance,,time | pace,Formula,Assumes perfectly even pacing; does not account for terrain or fatigue.,Core race split arithmetic.,readyForImplementation,Race Planner | Pace Band | Split Calculator
mtd_009,Negative Split Planner,Pace & Speed,/race,secondHalfPace = targetAveragePace × adjustmentFactor; firstHalf derived from total target time,targetDistance | targetFinishTime | negativeSplitPercent,,splitTime | pace,Formula,Planning tool only; not a guarantee of race execution.,Deterministic race pacing model.,readyForImplementation,Race Planner | Pace Band
mtd_010,Positive Split / Fade Percent,Pace Analysis,/race,fade% = (latePace - earlyPace) / earlyPace × 100,earlySegmentPace | lateSegmentPace,,percent,Formula,Interpretation depends on comparable segment length and terrain.,Simple pacing analysis metric.,readyForImplementation,Race Analyzer | Field Test Protocols
mtd_011,Split Deviation Percent,Pace Analysis,/race,deviation% = standardDeviation(splitPaces) / averagePace × 100,splitPaces,,percent,Formula,Requires consistent split lengths for clean interpretation.,Statistical split consistency metric.,readyForImplementation,Race Analyzer | Field Test Protocols
mtd_012,Elapsed vs Moving Pace Comparison,Pace Analysis,/pace,elapsedPace = elapsedTime / distance; movingPace = movingTime / distance,distance | elapsedTime | movingTime,,sec/km | sec/mi | percentDifference,Formula,GPS auto-pause settings can distort moving-time comparisons.,Core activity analysis arithmetic.,readyForImplementation,Pace Calculator | Activity Review
mtd_013,Riegel Race Prediction,Race Prediction,/race,T2 = T1 × (D2 / D1)^exponent,knownDistance | knownTime | targetDistance | exponent,,time | pace,Estimate,Accuracy decreases when target distance is very different from known race distance or when athlete endurance profile differs from exponent.,Common endurance race prediction model; exponent should be user-visible and editable.,readyForImplementation,Race Predictor | Pace Calculator | Formula Library
mtd_014,Age-Grading Style Relative Performance Placeholder,Race Analysis,/race,relativePerformance = userResult / referenceResult × 100 or inverse depending table design,userResult | referenceTableValue,,percent,Requires Source Table,Requires a valid external reference table; Track.Lab should not fabricate tables.,Metadata placeholder only; do not implement without verified table data.,plannedNeedsVerifiedTable,Race Analyzer
mtd_015,Target Race Pace from Goal Time,Race Planning,/race,targetPace = goalTime / raceDistance,goalTime | raceDistance,,pace | splitTimes,Formula,Goal may be unrealistic; this only calculates the required pace.,Core race planning arithmetic.,readyForImplementation,Race Planner | Pace Band
mtd_016,Race Time from Target Pace,Race Planning,/race,finishTime = targetPace × raceDistance,targetPace | raceDistance,,time,Formula,Assumes constant target pace.,Core race planning arithmetic.,readyForImplementation,Race Planner | Pace Calculator
mtd_017,Equivalent Race Pace from Manual PB,Race Prediction,/race,targetTime = knownTime × (targetDistance / knownDistance)^exponent,knownRaceDistance | knownRaceTime | targetRaceDistance | exponent,,time | pace,Estimate,Equivalent performance is model-based and not a guarantee.,Riegel-style prediction using manual PB input only.,readyForImplementation,Race Predictor | Training Pace Lab
mtd_018,Race Split by Kilometer,Race Planning,/race,split_k = targetPacePerKm × k,targetPacePerKm | raceDistanceKm,,cumulativeTime | splitTime,Formula,Flat/even split only; terrain and pacing strategy not included.,Core split table calculation.,readyForImplementation,Pace Band | Race Planner
mtd_019,Race Split by Mile,Race Planning,/race,split_mile = targetPacePerMile × mileNumber,targetPacePerMile | raceDistanceMiles,,cumulativeTime | splitTime,Formula,Flat/even split only; race course variation not included.,Core split table calculation.,readyForImplementation,Pace Band | Race Planner
mtd_020,Race Cutoff Pace,Race Planning,/race,requiredPace = cutoffTime / raceDistance,cutoffTime | raceDistance,,pace | speed,Formula,Does not include aid station time unless user manually includes it.,Core race logistics calculation.,readyForImplementation,Race Planner | Ultra Planner
mtd_021,Percent HRmax Zone,Heart Rate Zones,/zones,zoneBpm = HRmax × zonePercent,HRmax | zonePercentRange,,bpmRange,Estimate,HRmax must be measured or manually entered; age-predicted HRmax can be inaccurate.,Common HR zone calculation.,readyForImplementation,Heart Rate Zone Calculator | Training Zone Calculator
mtd_022,Karvonen Heart Rate Reserve,Heart Rate Zones,/zones,targetHR = restingHR + intensity% × (HRmax - restingHR),restingHR | HRmax | intensityPercentRange,,bpmRange,Estimate,Requires reliable resting HR and HRmax; does not guarantee physiological zone boundaries.,Common HRR method.,readyForImplementation,Heart Rate Zone Calculator | Recovery Check
mtd_023,LTHR-Based Zone,Heart Rate Zones,/zones,zoneBpm = LTHR × zonePercentRange,LTHR | zonePercentRange,,bpmRange,Estimate,LTHR must come from a valid field/lab test; heat and fatigue affect HR.,Threshold HR zone method using user-entered LTHR.,readyForImplementation,Heart Rate Zone Calculator | Field Test Protocols
mtd_024,HR Reserve,Heart Rate,/zones,HRR = HRmax - restingHR,HRmax | restingHR,,bpm,Formula,Only meaningful if HRmax and resting HR are reliable.,Core HR arithmetic.,readyForImplementation,Heart Rate Zone Calculator
mtd_025,Percent HRmax from Current HR,Heart Rate,/recovery,percentHRmax = currentHR / HRmax × 100,currentHR | HRmax,,percent,Formula,Requires accurate HRmax and current HR measurement.,Core HR arithmetic.,readyForImplementation,Heart Rate Lab | Recovery Check
mtd_026,Percent LTHR from Current HR,Heart Rate,/zones,percentLTHR = currentHR / LTHR × 100,currentHR | LTHR,,percent,Formula,LTHR field estimate may be inaccurate if test was poorly paced.,Core threshold HR arithmetic.,readyForImplementation,Heart Rate Lab | Training Zone Calculator
mtd_027,Resting HR Delta,Recovery,/recovery,deltaRHR = currentRestingHR - baselineRestingHR,currentRestingHR | baselineRestingHR,,bpm,Trend Metric,"Not a diagnosis; affected by sleep, stress, illness, hydration, and measurement method.",Simple trend metric.,readyForImplementation,Recovery Check | Heart Rate Lab
mtd_028,HR Recovery 1-Minute,Recovery,/field-tests,HRR_1min = peakHR - HR_after_1min,peakHR | HR_after_1min,,bpm,Field Metric,Not medical diagnosis; compare only under similar effort and recovery mode.,Field recovery metric.,readyForImplementation,Field Test Protocols | Recovery Check
mtd_029,HR Recovery 2-Minute,Recovery,/field-tests,HRR_2min = peakHR - HR_after_2min,peakHR | HR_after_2min,,bpm,Field Metric,"Affected by recovery posture, heat, effort, and sensor accuracy.",Field recovery metric.,readyForImplementation,Field Test Protocols | Recovery Check
mtd_030,HR Drift Percent,Aerobic Drift,/field-tests,HRDrift% = (secondHalfHR - firstHalfHR) / firstHalfHR × 100,firstHalfHR | secondHalfHR,,percent,Field Metric,"Weak if pace, terrain, heat, hydration, or sensor quality changes.",Simple drift metric.,readyForImplementation,Field Test Protocols | Easy Run Drift Test
mtd_031,Cooper 12-Minute VO2max Estimate,Field Test,/field-tests,VO2max = (distance_m - 504.9) / 44.73,distance_12min_m,,ml/kg/min,Estimate,"Field estimate only; affected by pacing, weather, surface, motivation, and measurement accuracy.",Cooper 12-minute field test equation.,readyForImplementation,Field Test Protocols | VO2 Lab
mtd_032,12-Minute Test Average Speed,Field Test,/field-tests,speed = distance_12min_m / 720,distance_12min_m,,m/s | km/h | pace,Formula,"Exact from entered distance, but distance may have measurement error.",Core arithmetic for Cooper protocol.,readyForImplementation,Field Test Protocols | Pace Calculator
mtd_033,20-Minute Threshold Pace Estimate,Field Test,/field-tests,thresholdPace = 1200 / (distance_20min_m / 1000),distance_20min_m,,sec/km | min/km,Field Estimate,Estimates threshold from field performance; not direct lactate measurement.,Common field threshold pace estimation from 20-min hard effort.,readyForImplementation,Field Test Protocols | Training Pace Lab
