id,name,testType,confidenceLabel,requiredInputs,mainOutputs,formulaHooks,relatedModules,limitation
ftp_001,Cooper 12-Minute Test,maximal_time_trial_vo2_estimate,moderate,distance_12min_m | test_duration_sec | body_weight_kg,estimated_vo2max_ml_kg_min | average_speed_m_s | average_pace_sec_per_km | distance_km | optional_MET,cooper_12min_vo2max | pace_from_time_distance | speed_converter | met_from_vo2 | field_test_history,VO2 & Metabolic Lab | Pace Lab | Training Pace Lab | Race Lab | Export Tools,"A 12-minute field estimate is not lab-measured VO2max. It is affected by pacing, motivation, weather, surface, GPS/track accuracy, and running economy."
ftp_002,1-Mile Time Trial,maximal_distance_time_trial,moderate,finish_time_sec | distance_m,pace_sec_per_km | pace_sec_per_mile | average_speed_m_s | race_prediction_optional | lap_split_table,pace_from_time_distance | speed_converter | riegel_prediction | track_lap_splits | race_derived_pace_zones,Pace Lab | Race Lab | Training Pace Lab | Track Split Calculator | Export Tools,"Short time trials are sensitive to pacing, anaerobic ability, warmup quality, and track accuracy. They are not enough alone to model longer-distance endurance."
ftp_003,3K Time Trial,maximal_distance_time_trial,moderate,finish_time_sec | distance_m,pace_sec_per_km | average_speed_m_s | split_deviation_percent | race_prediction_optional | critical_speed_trial_point,pace_from_time_distance | speed_converter | split_deviation | riegel_prediction | critical_speed_trial_input,Pace Lab | Race Lab | Critical Speed Lab | Training Pace Lab | Export Tools,3K performance can overrepresent speed-oriented runners and underrepresent longer endurance. Use with other tests for broader modeling.
ftp_004,5K Time Trial,maximal_distance_time_trial,moderate,finish_time_sec | distance_m,pace_sec_per_km | average_speed_m_s | race_prediction_optional | training_pace_anchor | split_fade_percent,pace_from_time_distance | speed_converter | riegel_prediction | race_derived_pace_zones | pace_fade_percent,Pace Lab | Race Lab | Training Pace Lab | Zone Lab | Export Tools,"A solo 5K time trial may differ from race performance due to motivation, course, weather, pacing, and measurement error."
ftp_005,20-Minute Threshold Test,threshold_field_test,moderate,distance_20min_m | test_duration_sec,threshold_pace_sec_per_km_estimate | threshold_speed_m_s_estimate | optional_lthr_proxy | threshold_zone_pace_ranges | pacing_stability,threshold_pace_from_20min | threshold_pace_zones | pace_from_time_distance | pace_drift | training_zone_calculator,Training Pace Lab | Zone Lab | Pace Lab | Heart Rate Lab | Export Tools,A 20-minute test estimates threshold pace but does not directly measure lactate threshold or MLSS. Result depends heavily on pacing and conditions.
ftp_006,30-Minute LTHR Test,threshold_hr_field_test,moderate,average_hr_last_20min | test_duration_sec,estimated_lthr_bpm | lthr_zone_table | optional_threshold_pace | hr_drift_within_test,lthr_zone_model | threshold_pace_zones | hr_zone_calculator | pace_from_time_distance | hr_drift,Heart Rate Lab | Zone Lab | Training Pace Lab | Recovery Check Lab | Export Tools,"LTHR field estimate depends on HR sensor quality, heat, fatigue, caffeine, hydration, and pacing. It is not a blood lactate test."
ftp_007,2-Point Critical Speed Test,critical_speed_field_test,moderate,trial1_distance_m | trial1_time_sec | trial2_distance_m | trial2_time_sec,critical_speed_m_s | critical_pace_sec_per_km | D_prime_m | time_to_exhaustion_above_cs_optional | cs_zone_table,two_point_cs | critical_pace_converter | d_prime | tte_above_cs | critical_speed_zones,Critical Speed Lab | Training Pace Lab | Race Lab | Pace Lab | Export Tools,"Two-point CS can be unstable if trials are not maximal, too close in duration, or affected by different conditions. No single CS testing method is universally optimal."
ftp_008,3-Point Critical Speed Test,critical_speed_field_test,moderate-high,trial_distances_m | trial_times_sec,critical_speed_m_s | D_prime_m | critical_pace_sec_per_km | fit_residuals | r_squared_optional,three_point_cs | linear_regression_distance_time | critical_pace_converter | d_prime | residual_check | critical_speed_zones,Critical Speed Lab | Training Pace Lab | Race Lab | Pace Lab | Export Tools,"Three-point CS is more robust than two-point but still depends on maximal effort quality, trial spacing, route accuracy, and model assumptions."
ftp_009,HR Recovery Test,heart_rate_recovery_field_test,moderate,peak_hr_bpm | hr_after_1min_bpm,hrr_1min_bpm | hrr_2min_bpm | hrr_percent_1min | trend_delta_vs_baseline,hr_recovery_delta | recovery_check | hr_trend | manual_baseline_comparison,Recovery Check Lab | Heart Rate Lab | Export Tools,"HR recovery is affected by intensity, heat, hydration, caffeine, stress, sleep, sensor error, posture, and recovery mode. Use only for personal trend tracking."
ftp_010,Sweat Rate Test,hydration_field_test,moderate-high,pre_weight_kg | post_weight_kg | fluid_intake_l | duration_hours,body_mass_loss_kg | sweat_loss_l | sweat_rate_l_per_hour | body_mass_loss_percent | fluid_plan_reference,sweat_rate | fluid_total | body_mass_loss_percent | hydration_plan | sodium_total,Fuel & Hydration Lab | Environment Lab | Long Run Planner | Export Tools,"Field sweat rate is affected by scale precision, clothing water retention, unrecorded fluid/urine, gut contents, and environmental changes."
