id,name,category,workoutType,level,raceDistanceTags,surface,durationRangeMinutes,distanceRangeKm,intensityTarget,formulaHooks,safetyFlags,confidenceLabel
wkt_0001,15 min Recovery Run — Beginner road,Recovery Run,continuous,beginner,general | 5K,road,"[10, 25]","[1.5, 2.7]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0002,15 min Recovery Run — Beginner Intermediate road,Recovery Run,continuous,beginner-intermediate,general | 5K | 10K,road,"[10, 25]","[1.5, 2.7]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0003,15 min Recovery Run — Intermediate road,Recovery Run,continuous,intermediate,general | 5K | 10K | halfMarathon,road,"[10, 25]","[1.5, 2.7]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0004,15 min Recovery Run — Beginner track,Recovery Run,continuous,beginner,general | 5K,track,"[10, 25]","[1.5, 2.7]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0005,15 min Recovery Run — Beginner Intermediate track,Recovery Run,continuous,beginner-intermediate,general | 5K | 10K,track,"[10, 25]","[1.5, 2.7]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0006,15 min Recovery Run — Intermediate track,Recovery Run,continuous,intermediate,general | 5K | 10K | halfMarathon,track,"[10, 25]","[1.5, 2.7]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0007,15 min Recovery Run — Beginner treadmill,Recovery Run,continuous,beginner,general | 5K,treadmill,"[10, 25]","[1.5, 2.7]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0008,15 min Recovery Run — Beginner Intermediate treadmill,Recovery Run,continuous,beginner-intermediate,general | 5K | 10K,treadmill,"[10, 25]","[1.5, 2.7]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0009,15 min Recovery Run — Intermediate treadmill,Recovery Run,continuous,intermediate,general | 5K | 10K | halfMarathon,treadmill,"[10, 25]","[1.5, 2.7]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0010,15 min Recovery Run — Beginner mixedRoadTrail,Recovery Run,continuous,beginner,general | 5K,road | trail,"[10, 25]","[1.5, 2.7]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0011,15 min Recovery Run — Beginner Intermediate mixedRoadTrail,Recovery Run,continuous,beginner-intermediate,general | 5K | 10K,road | trail,"[10, 25]","[1.5, 2.7]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0012,15 min Recovery Run — Intermediate mixedRoadTrail,Recovery Run,continuous,intermediate,general | 5K | 10K | halfMarathon,road | trail,"[10, 25]","[1.5, 2.7]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0013,20 min Recovery Run — Beginner road,Recovery Run,continuous,beginner,general | 5K,road,"[15, 30]","[2.0, 3.6]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0014,20 min Recovery Run — Beginner Intermediate road,Recovery Run,continuous,beginner-intermediate,general | 5K | 10K,road,"[15, 30]","[2.0, 3.6]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0015,20 min Recovery Run — Intermediate road,Recovery Run,continuous,intermediate,general | 5K | 10K | halfMarathon,road,"[15, 30]","[2.0, 3.6]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0016,20 min Recovery Run — Beginner track,Recovery Run,continuous,beginner,general | 5K,track,"[15, 30]","[2.0, 3.6]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0017,20 min Recovery Run — Beginner Intermediate track,Recovery Run,continuous,beginner-intermediate,general | 5K | 10K,track,"[15, 30]","[2.0, 3.6]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0018,20 min Recovery Run — Intermediate track,Recovery Run,continuous,intermediate,general | 5K | 10K | halfMarathon,track,"[15, 30]","[2.0, 3.6]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0019,20 min Recovery Run — Beginner treadmill,Recovery Run,continuous,beginner,general | 5K,treadmill,"[15, 30]","[2.0, 3.6]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0020,20 min Recovery Run — Beginner Intermediate treadmill,Recovery Run,continuous,beginner-intermediate,general | 5K | 10K,treadmill,"[15, 30]","[2.0, 3.6]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0021,20 min Recovery Run — Intermediate treadmill,Recovery Run,continuous,intermediate,general | 5K | 10K | halfMarathon,treadmill,"[15, 30]","[2.0, 3.6]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0022,20 min Recovery Run — Beginner mixedRoadTrail,Recovery Run,continuous,beginner,general | 5K,road | trail,"[15, 30]","[2.0, 3.6]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0023,20 min Recovery Run — Beginner Intermediate mixedRoadTrail,Recovery Run,continuous,beginner-intermediate,general | 5K | 10K,road | trail,"[15, 30]","[2.0, 3.6]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0024,20 min Recovery Run — Intermediate mixedRoadTrail,Recovery Run,continuous,intermediate,general | 5K | 10K | halfMarathon,road | trail,"[15, 30]","[2.0, 3.6]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0025,25 min Recovery Run — Beginner road,Recovery Run,continuous,beginner,general | 5K,road,"[20, 35]","[2.5, 4.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0026,25 min Recovery Run — Beginner Intermediate road,Recovery Run,continuous,beginner-intermediate,general | 5K | 10K,road,"[20, 35]","[2.5, 4.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0027,25 min Recovery Run — Intermediate road,Recovery Run,continuous,intermediate,general | 5K | 10K | halfMarathon,road,"[20, 35]","[2.5, 4.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0028,25 min Recovery Run — Beginner track,Recovery Run,continuous,beginner,general | 5K,track,"[20, 35]","[2.5, 4.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0029,25 min Recovery Run — Beginner Intermediate track,Recovery Run,continuous,beginner-intermediate,general | 5K | 10K,track,"[20, 35]","[2.5, 4.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0030,25 min Recovery Run — Intermediate track,Recovery Run,continuous,intermediate,general | 5K | 10K | halfMarathon,track,"[20, 35]","[2.5, 4.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0031,25 min Recovery Run — Beginner treadmill,Recovery Run,continuous,beginner,general | 5K,treadmill,"[20, 35]","[2.5, 4.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0032,25 min Recovery Run — Beginner Intermediate treadmill,Recovery Run,continuous,beginner-intermediate,general | 5K | 10K,treadmill,"[20, 35]","[2.5, 4.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0033,25 min Recovery Run — Intermediate treadmill,Recovery Run,continuous,intermediate,general | 5K | 10K | halfMarathon,treadmill,"[20, 35]","[2.5, 4.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0034,25 min Recovery Run — Beginner mixedRoadTrail,Recovery Run,continuous,beginner,general | 5K,road | trail,"[20, 35]","[2.5, 4.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0035,25 min Recovery Run — Beginner Intermediate mixedRoadTrail,Recovery Run,continuous,beginner-intermediate,general | 5K | 10K,road | trail,"[20, 35]","[2.5, 4.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
wkt_0036,25 min Recovery Run — Intermediate mixedRoadTrail,Recovery Run,continuous,intermediate,general | 5K | 10K | halfMarathon,road | trail,"[20, 35]","[2.5, 4.5]",Zone 1 / RPE 1-2 / relaxed conversational pace,sessionDuration | distanceEstimate | paceToTime | hrZoneTarget | trainingLoadEstimate,lowIntensity | conversationPace | reduceIfFatigued | stopIfPain,high
